Strain, Type, Content 
Tina Danza, hybrid, THC 25% 
Ultimate Trainwreck, sativa, THC 20% 
X Tra Chz, hybrid, THC 16% 
Acid Dough, sativa, THC 18% 
X-Kush #1, indica, THC 21% 
Fighting Buddha, sativa, THC 16% 
Euphoria Cookies, hybrid, THC 18% 
Scooby Snacks, hybrid, THC 24% 
Silver Nina, sativa, THC 23% 
Sin City Kush, indica, THC 26% 
Sin Valley OG, indica, THC 31% 
Royal Haze, sativa, THC 20% 
Seattle Cough, sativa, THC 22% 
Romping Goddess, hybrid, THC 23% 
Green Python, indica, THC 22% 
Purple Frost, indica, THC 25% 
Top 44, indica, THC 20% 
Lime Purple Mist, indica, THC 28% 
Lady Liberty, hybrid, THC 23% 
Root Beer Kush, sativa, THC 23% 
Madagascar, indica, THC 0% 
Road Dawg, indica, THC 26% 
MILF, sativa, THC 20% 
The Void, hybrid, THC 16% 
The Brotherhood, sativa, THC 28% 
Purple Monkey Balls, hybrid, THC 23% 
Euphoria, indica, THC 6% / CBD 7% 
Godfather OG, indica, THC 28% 
Big Buddha Cheese, hybrid, THC 18% 
Duke Nukem, sativa, THC 20% 
J1, sativa, THC 23% 
Galactic Jack, sativa, THC 26% 
Alien Bubba, indica, THC 21% 
Pineapple Thai, sativa, THC 24% / CBD 5% 
Bubba OG, indica, THC 27% 
Blue Haze, indica, THC 26% 
Blueberry Jack, hybrid, THC 20% 
OG Skunk, sativa, THC 26% 
Purple Crack, sativa, THC 19% 
Orange Juice, indica, THC 15% 
Hindu Skunk, indica, THC 23% 
Sour Sunset, indica, THC 24% 
Neville's Haze, sativa, THC 21% 
Optimus Prime, indica, THC 18% 
Johnny Blaze, indica, THC 19% 
Ethiopian, sativa, THC 15% 
Skunk Haze, sativa, THC 9% / CBD 9% 
Jamaican Dream, sativa, THC 21% 
Strawberry Banana, indica, THC 33% 
Alaskan Thunderfuck, sativa, THC 27% 
Super Silver Haze, sativa, THC 23% 
LA Confidential, indica, THC 26% 
Strawberry Cough, sativa, THC 23% 
Jack Frost, sativa, THC 21% 
Timewarp, sativa, THC 14% 
Blue Cookies, indica, THC 25% 
Do-Si-Dos, hybrid, THC 30% 
9 Pound Hammer, indica, THC 23% 
Bruce Banner, sativa, THC 30% 
Death Bubba, indica, THC 27% 
Bubba Kush, indica, THC 23% 
Sunset Sherbet, indica, THC 24% 
Moby Dick, sativa, THC 21% 
Sour OG, hybrid, THC 27% / CBD 0% 
Mango Kush, indica, THC 21% 
Ghost OG, indica, THC 24% 
Jillybean, sativa, THC 18% 
Mimosa, sativa, THC 27% 
Headband, indica, THC 27% 
Alien OG, sativa, THC 28% 
Blue Cheese, indica, THC 20% 
Khalifa Kush, indica, THC 29% / CBD 2% 
Tiger Woods, hybrid, THC 15% 
Blue Velvet, hybrid, THC 20% 
Bob Barker, indica, THC 22% 
Randy Savage, indica, THC 22% 
BC Sweet Tooth, indica, THC 13% 
Happy Nightmare, indica, THC 19% 
Americano, indica, THC 20% 
Big White, hybrid, THC 20% 
Acid, indica, THC 23% 
Milky Way, sativa, THC 22% 
Swiss Bliss, sativa, THC 23% 
Kriss Kross, hybrid, THC 21% 
Blue Blood, hybrid, THC 20% / CBD 10% 
Crypt, hybrid, THC 18% 
White Knight, indica, THC 26% 
Venus OG, hybrid, THC 25% 
Tommy’s Home Grown, hybrid, THC 19% 
Odyssey, hybrid, THC 22% 
Alpha Express, sativa, THC 21% 
Alpine Star, indica, THC 24% 
Spirit of 76, hybrid, THC 12% 
American Kush, indica, THC 27% 
Bubblicious, indica, THC 25% 
BB King, indica, THC 16% 
White Ice, indica, THC 20% / CBD 1% 
Blackberry Bubble, indica, THC 20% 
Dr. Grinspoon, sativa, THC 25% 
Haze, sativa, THC 27% 
Mai Tai Cookies, sativa, THC 14% / CBD 12% 
The Fork, sativa, THC 27% 
Throwback Kush, indica, THC 23% 
Kushberry, indica, THC 22% 
Qrazy Train, hybrid, THC 27% 
WMD, indica, THC 20% 
Wonder Kid, indica, THC 25% 
Wookie, indica, THC 23% 
Sinai, hybrid, THC 22% 
WTF, indica, THC 18% 
Yoda's Brain, indica, THC 22% 
Zelda, hybrid, THC 26% 
Sour Cheese, sativa, THC 24% 
Wild Thailand, sativa, THC 23% 
Cold Creek Kush, indica, THC 22% / CBD 3% 
Sugar Shack, indica, THC 19% 
Tahoe Hydro Champagne, sativa, THC 0% 
Corleone Kush, hybrid, THC 29% 
Firewalker OG, sativa, THC 25% / CBD 1% 
Nuclear Cookies, hybrid, THC 22% 
Arctic Sun, sativa, THC 22% 
Anunnaki, sativa, THC 19% 
Keester Kush, indica, THC 21% 
Legalized OG, indica, THC 24% 
Deadwood, hybrid, THC 17% 
Ewok, indica, THC 19% 
Super Sweet, hybrid, THC 14% 
White Walrus, hybrid, THC 18% / CBD 4% 
Sleestack, sativa, THC 25% 
Blucifer, sativa, THC 25% 
White Smurf, hybrid, THC 22% 
Avalon, indica, THC 19% 
Star 47, indica, THC 20% 
Afghan Cow, sativa, THC 22% 
Sputnik, sativa, THC 23% 
Thor's Hammer, sativa, THC 29% 
Verde Electric, hybrid, THC 24% 
Platinum Wreck, sativa, THC 25% 
Cyclops, indica, THC 20% 
Sexxpot, indica, THC 15% 
Space Monster, indica, THC 20% 
Purple Afghani, indica, THC 25% 
B4, hybrid, THC 26% 
Jack Skellington, sativa, THC 17% 
Cat Piss, sativa, THC 20% 
Champagne Kush, hybrid, THC 15% 
Jet Fuel, sativa, THC 20% 
Animal Cookies, indica, THC 27% 
Holy Grail Kush, indica, THC 24% / CBD 4% 
Ice Cream, indica, THC 22% 
Violator Kush, indica, THC 22% / CBD 2% 
Orange Crush, sativa, THC 29% 
Private Reserve, hybrid, THC 25% 
White Fire OG, indica, THC 25% / CBD 1% 
Chocolope, sativa, THC 22% 
God's Gift, indica, THC 25% 
Black Diamond, indica, THC 24% 
Critical Mass, indica, THC 22% 
Island Sweet Skunk, sativa, THC 19% 
Obama Kush, indica, THC 21% 
Apollo 13, sativa, THC 18% 
Bubblegum, indica, THC 19% 
Blue Mystic, indica, THC 21% 
Larry OG, indica, THC 24% / CBD 1% 
Panama Red, sativa, THC 16% 
Bordello, indica, THC 20% 
Black Widow, sativa, THC 28% 
White Rhino, indica, THC 22% 
Face Off OG, hybrid, THC 20% 
Warlock, indica, THC 19% 
Valley Girl, hybrid, THC 31% 
Chiesel, hybrid, THC 18% 
Cataract Kush, indica, THC 25% 
Mango Tango, indica, THC 26% 
Loud Scout, indica, THC 23% 
Blue Heron, indica, THC 19% / CBD 1% 
Big Smooth, indica, THC 26% 
Super Kush, hybrid, THC 22% 
Strawberry Ice, sativa, THC 21% 
White Kush, indica, THC 29% 
Donkey Butter, indica, THC 27% 
Alien Technology, indica, THC 19% 
Fortune Cookies, sativa, THC 24% 
Bright Fire, indica, THC 25% 
Raspberry Cough, sativa, THC 24% 
Bell Ringer, indica, THC 25% 
Pink Bubba, indica, THC 23% 
Tropical Tang, sativa, THC 22% 
White Walker OG, hybrid, THC 22% 
OG Cheese, indica, THC 18% 
California Hash Plant, indica, THC 12% / CBD 5% 
Bright Moments, hybrid, THC 26% 
Megalodon, sativa, THC 23% 
Fire Haze, sativa, THC 20% 
Hell's Angel OG, indica, THC 20% 
Edelweiss, indica, THC 21% 
Sweet Kush, hybrid, THC 18% 
Rare Darkness, indica, THC 26% 
Aceh, sativa, THC 10% 
Anonymous OG, indica, THC 20% 
Sunburn, sativa, THC 24% 
